District,SS,Toponym,Chrononym,Def,Context,Year,Comment,Latitude,Longitude,DISS
Чухл,Петровский,Асташово,АБРаМЬЕВ ДеНЬ,"праздник, отмечаемый в д. Асташово и б. д. Малое Коровье 1 августа",В честь какого-то батюшки Абрама.,2024 лето,,,,
Пав,Крутогорский,Шайменский,АВДОКеЯ,"день св. Евдокии, 14 марта",,2009 авг.,,,,
Пав,Крутогорский,Шайменский,АВДОКеЯ,14 марта,"Если в АвдокЕю кАплет с потОка, то веснА бУдет хорОшая.",2009 авг.,,,,
Пав,Леденгский,Вторая Леденгская,АВДоТЬЯ-КАПуСТНИЦА,"день, когда сеяли капусту (до Егорьева Дня)","КапУсту сЕяли на АвдОтью-КапУстницу ‒ до ЕгОрьева Дня, до шестОго мАя.",2009 авг.,,,,
Нерех,Татарский,Блазново,АВДоТЬЯ-МАЛиНОВКА,"день в начале августа, когда в лесу поспевает малина","Авдотья-малиновка после Ильина дня когда-то, шли за малиной.",2019 лето,,,,
Чухл,Петровский,Асташово,АВРАаМИЙ,"праздник, отмечаемый 1 августа в д. Асташово",,2024 лето,,,,
Парф,Матвеевский,Матвеево,АДаРЬЯ ‒ НАСЕРи В ПРоРУБЬ,"праздник, отмечаемый в марте","АдАрья ‒ насерИ в прОрубь. ПоИли лошадЕй у прОрубей. А лОшадь испражнЯется, и всё Это течЁт в прОрубь.",2006 авг.,,,,
Ост,Юрьевский,Кияново,АЛЕКСаНДРОВ ДеНЬ,"праздник, отмечаемый в сентябре в б. д. Кияново",,2023 лето,,,,
Вохом,Вохомский,Вохма,АЛЕКСеЕВ ДеНЬ,31 марта ,"На АлексЕев день базАр в ВОхме, такОй был сИльный.",2012 лето,,,,
Вохом,Заветлужский,Юдино,АЛЕКСеЕВ ДеНЬ,31 марта,В АлексЕев День петух напьётся. // Это базарный день.,2012 лето,,,,
Вохом,Лапшинский,Покров,АЛЕКСеЕВ ДеНЬ,"праздник, отмечаемый 30 марта",Между Алексеевым Днем и Благовещеньем снег идет ‒ грибов будет много.,2011 авг.,,,,
Вохом,Сосновский,Хмелевка,АЛЕКСеЕВСКАЯ,православный праздник 30 марта,"""Крешшение, потом БлаговЕщенье, Паска. // Раньше в Михайлов день ярмарка была, в Алексеевскую, в Благовешшенье и в этот, Вознесеньев день ‒ вот в эти дни ярмарки были.""",2012 лето,,,,
Окт,Луптюгский,Афонино,АЛЕКСеЕВСКАЯ,день 29 марта,"РожествО, Васильев вечер, Крещенье, БлаговЕщенье, АлексЕевская, Паска, Троица ‒ это всё большие праздники.",2011 авг.,,,,
Вохом,Петрецовский,Никола,АЛЕКСеЕВСКАЯ,30 марта,"На АлексЕевскую Ярмарка, со всегО райОна собирАлись.",2012 лето,,,,
Вохом,Вохомский,Вохма,АЛЕКСеЕВСКАЯ,"православный праздник, отмечаемый 30 марта","АлексЕевская тридцатого марта. Каковы ручьи с гор, таковы вешние воды",2011 февраль,< д. Плоская Петрецовского с/с,,,
Вохом,Вохомский,Вохма,АЛЕКСеЕВСКАЯ,30 марта,В АлексЕевскую в ВОхме Ярманка былА.,2011 февраль,,,,
Вохом,Вохомский,Вохма,АЛЕКСеЕВСКАЯ,30 марта,На АлексЕевскую в ВОхму на базАр Ездим.,2009 авг.,,,,
